Vivado Simulator 2015.2
Time resolution is 1 ps
                   0speed =   x
                 150speed =   0
                 250speed =   1
                 350speed =   2
                 450speed =   3
                 550speed =   4
                 650speed =   5
                 750speed =   6
                 850speed =   7
                 950speed =   8
                1050speed =   9
                1150speed =  10
                1250speed =  11
                1350speed =  12
                1450speed =  13
                1550speed =  14
                1650speed =  15
                1750speed =  16
                1850speed =  17
                1950speed =  18
                2050speed =  19
                2150speed =  20
                2250speed =  21
                2350speed =  22
                2450speed =  23
                2550speed =  24
                2650speed =  25
                2750speed =  26
                2850speed =  27
                2950speed =  28
                3050speed =  29
                3150speed =  30
                3250speed =  31
                3350speed =  30
                3450speed =  29
                3550speed =  28
                3650speed =  27
                3750speed =  26
                3850speed =  25
                3950speed =  24
                4050speed =  23
                4150speed =  22
                4250speed =  21
                4350speed =  20
                4450speed =  21
                4550speed =  22
                4650speed =  23
                4750speed =  24
                4850speed =  25
                4950speed =  26
                5050speed =  27
                5150speed =  28
                5250speed =  29
                5350speed =  30
                5450speed =  31
                5550speed =  32
                5650speed =  33
                5750speed =  34
                5850speed =  35
                5950speed =  36
                6050speed =  37
                6150speed =  38
                6250speed =  39
                6350speed =  40
                6450speed =  41
                6550speed =  42
                6650speed =  43
                6750speed =  44
                6850speed =  45
                6950speed =  46
                7050speed =  47
                7150speed =  48
                7250speed =  49
                7350speed =  50
                7450speed =  51
                7550speed =  52
                7650speed =  53
                7750speed =  54
                7850speed =  55
                7950speed =  56
                8050speed =  57
                8150speed =  58
                8250speed =  59
                8350speed =  60
                8450speed =  59
                8550speed =  58
                8650speed =  57
                8750speed =  56
                8850speed =  55
                8950speed =  54
                9050speed =  53
                9150speed =  52
                9250speed =  51
                9350speed =  50
               10050speed =  48
               10150speed =  46
               10250speed =  44
               10350speed =  42
               10450speed =  40
               10550speed =  38
               10650speed =  36
               10750speed =  34
               10850speed =  32
               10950speed =  30
               11050speed =  28
               11150speed =  26
               11250speed =  27
               11350speed =  28
               11450speed =  29
               11550speed =  30
               11650speed =  31
               11750speed =  32
               11850speed =  33
               11950speed =  34
               12050speed =  35
               12150speed =  36
               12250speed =  37
               12350speed =  38
               12450speed =  39
               12550speed =  40
               12650speed =  41
               12750speed =  42
               12850speed =  43
               12950speed =  44
               13050speed =  45
               13150speed =  46
               13250speed =  47
               13350speed =  48
               13450speed =  49
               13550speed =  50
               14150speed =  51
               14250speed =  52
               14350speed =  53
               14450speed =  54
               14550speed =  55
               14750speed =  54
               14850speed =  53
               14950speed =  52
               15050speed =  51
               15150speed =  50
               15950speed =  48
               16050speed =  46
               16150speed =  44
               16250speed =  42
               16350speed =  40
               16450speed =  38
               16550speed =  36
               16650speed =  34
               16750speed =  32
               16850speed =  30
               16950speed =  28
               17050speed =  26
               17150speed =  24
               17250speed =  22
               17350speed =  20
               17450speed =  18
               17550speed =  16
               17650speed =  14
               17750speed =  12
               17850speed =  10
               17950speed =   8
               18050speed =   6
               18150speed =   4
               18250speed =   2
               18350speed =   0
$finish called at time : 18450 ns : File "C:/Users/Amarnath/Desktop/CRUISE_CONTROL_SYSTEM/CruiseControlSystem/CruiseControlSystem.srcs/sim_1/new/CruiseControl_tb.v" Line 139
